# Mode: Calibration
# Date: 2026-03-11 21:43:45
# Reference source: FL12
# Sensitivity correction: off
# Gain: 10.0
# Exposure: 10000
pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
595,0.07166512310504913,556.768948,0.01861136453530334,556.768948,0.07166512310504913
596,0.06990136206150055,557.103847,0.018025808889012413,557.103847,0.06990136206150055
597,0.06951969116926193,557.438878,0.017668513562783157,557.438878,0.06951969116926193
598,0.0696888193488121,557.774041,0.017311077464556613,557.774041,0.0696888193488121
599,0.07019257545471191,558.109335,0.01698258925746368,558.109335,0.07019257545471191
600,0.07014085352420807,558.44476,0.016714110562668374,558.44476,0.07014085352420807
601,0.07008200138807297,558.780314,0.016445528614532877,558.780314,0.07008200138807297
602,0.07051659375429153,559.115996,0.01618403159649293,559.115996,0.07051659375429153
603,0.06980196386575699,559.451807,0.015936051575802773,559.451807,0.06980196386575699
604,0.0678703561425209,559.787745,0.015687977771816047,559.787745,0.0678703561425209
605,0.06739281862974167,560.12381,0.015444111836306252,560.12381,0.06739281862974167
606,0.06789300590753555,560.460001,0.01520753181649819,560.460001,0.06789300590753555
607,0.06858912110328674,560.796316,0.014970864537000065,560.796316,0.06858912110328674
608,0.0669599324464798,561.132756,0.014738334132855236,561.132756,0.0669599324464798
609,0.06739535927772522,561.469319,0.014512203144820717,561.469319,0.06739535927772522
610,0.06867057830095291,561.806005,0.014285989515166325,561.806005,0.06867057830095291
611,0.06986990571022034,562.142812,0.014065934223456672,562.142812,0.06986990571022034
612,0.07199578732252121,562.479741,0.013854278177750498,562.479741,0.07199578732252121
613,0.07899349927902222,562.81679,0.01364254674902448,562.81679,0.07899349927902222
614,0.09382695704698563,563.153958,0.013439456168398383,563.153958,0.09382695704698563
615,0.10945184528827667,563.491245,0.013246669135917653,563.491245,0.10945184528827667
616,0.12355607002973557,563.82865,0.013053814656811885,563.82865,0.12355607002973557
617,0.13118815422058105,564.166172,0.01287246638208951,564.166172,0.13118815422058105
618,0.14824135601520538,564.50381,0.012702993584933238,564.50381,0.14824135601520538
619,0.16219186782836914,564.841563,0.012533463065092782,564.841563,0.16219186782836914
620,0.15941089391708374,565.179431,0.012353881585702792,565.179431,0.15941089391708374
621,0.16316670179367065,565.517412,0.01216541309783581,565.517412,0.16316670179367065
622,0.16333352029323578,565.855507,0.011976881040100683,565.855507,0.16333352029323578
623,0.16301481425762177,566.193713,0.011813534061536273,566.193713,0.16301481425762177
624,0.16077670454978943,566.532031,0.011668971267391534,566.532031,0.16077670454978943
625,0.1559838205575943,566.870458,0.01152436189770375,566.870458,0.1559838205575943
626,0.1505196988582611,567.208996,0.011416900870281336,567.208996,0.1505196988582611
627,0.1552761197090149,567.547642,0.01133246797303304,567.547642,0.1552761197090149
628,0.15784235298633575,567.886395,0.011248008398015033,567.886395,0.15784235298633575
629,0.1604927033185959,568.225256,0.011214343108755525,568.225256,0.1604927033185959
630,0.16527245938777924,568.564222,0.011206306362619042,568.564222,0.16527245938777924
631,0.16161617636680603,568.903293,0.01119826712697522,568.903293,0.16161617636680603
632,0.16447512805461884,569.242469,0.011256481778801687,569.242469,0.16447512805461884
633,0.16631872951984406,569.581748,0.011341148008869187,569.581748,0.16631872951984406
634,0.16949713230133057,569.921129,0.011425839692782857,569.921129,0.16949713230133057
635,0.18065795302391052,570.260612,0.011642475756333594,570.260612,0.18065795302391052
636,0.19043812155723572,570.600196,0.011899111781322075,570.600196,0.19043812155723572
637,0.1953556090593338,570.939879,0.012155822624224523,570.939879,0.1953556090593338
638,0.20140375196933746,571.279661,0.012502720111561736,571.279661,0.20140375196933746
639,0.19606029987335205,571.619541,0.012869095310785287,571.619541,0.19606029987335205
640,0.18850229680538177,571.959518,0.013235575071602102,571.959518,0.18850229680538177
641,0.17095820605754852,572.299591,0.01369908717296736,572.299591,0.17095820605754852
642,0.15004491806030273,572.639759,0.01417582985218104,572.639759,0.15004491806030273
643,0.14286307990550995,572.980021,0.014652704271628335,572.980021,0.14286307990550995
644,0.13576775789260864,573.320376,0.015233785253246278,573.320376,0.13576775789260864
645,0.13864918053150177,573.660824,0.015821517093110294,573.660824,0.13864918053150177
646,0.1527341902256012,574.001363,0.016409850608158763,574.001363,0.1527341902256012
647,0.16749346256256104,574.341992,0.01710899982122843,574.341992,0.16749346256256104
648,0.18130548298358917,574.682711,0.01780833376146219,574.682711,0.18130548298358917
649,0.18587487936019897,575.023518,0.018657815558560928,575.023518,0.18587487936019897
650,0.1930943727493286,575.364413,0.021531295949673068,575.364413,0.1930943727493286
651,0.1806851476430893,575.705394,0.024405501254067416,575.705394,0.1806851476430893
652,0.17216753959655762,576.046461,0.02765749021523107,576.046461,0.17216753959655762
653,0.151452898979187,576.387612,0.03330177245577332,576.387612,0.151452898979187
654,0.14019568264484406,576.728847,0.03894744446128268,576.728847,0.14019568264484406
655,0.1274857521057129,577.070165,0.04227106790329897,577.070165,0.1274857521057129
656,0.12279542535543442,577.411564,0.03661447394622584,577.411564,0.12279542535543442
657,0.1223779022693634,577.753043,0.03095655447994879,577.753043,0.1223779022693634
658,0.1237257570028305,578.094603,0.036659217567615615,578.094603,0.1237257570028305
659,0.13028603792190552,578.43624,0.07202966069174656,578.43624,0.13028603792190552
660,0.1392674446105957,578.777956,0.10740828286266632,578.777956,0.1392674446105957
661,0.14631791412830353,579.119747,0.12126933439272794,579.119747,0.14631791412830353
662,0.14935432374477386,579.461615,0.09521060138816673,579.461615,0.14935432374477386
663,0.15313932299613953,579.803557,0.06914622776723467,579.803557,0.15313932299613953
664,0.1507110595703125,580.145572,0.0517187554499863,580.145572,0.1507110595703125
665,0.13806849718093872,580.48766,0.045952679342004144,580.48766,0.13806849718093872
666,0.12807697057724,580.829818,0.040185423346601634,580.829818,0.12807697057724
667,0.11986057460308075,581.172048,0.03796819924078036,581.172048,0.11986057460308075
668,0.1123768612742424,581.514346,0.03926396190025007,581.514346,0.1123768612742424
669,0.10547516494989395,581.856713,0.04055998575792549,581.856713,0.10547516494989395
670,0.10289247334003448,582.199147,0.04356870510626152,582.199147,0.10289247334003448
671,0.10057411342859268,582.541647,0.04781035005068297,582.541647,0.10057411342859268
672,0.10335565358400345,582.884212,0.05205279997881729,582.884212,0.10335565358400345
673,0.10486501455307007,583.22684,0.075242223283093,583.22684,0.10486501455307007
674,0.10866927355527878,583.569532,0.10810866194330358,583.569532,0.10866927355527878
675,0.11170154064893723,583.912285,0.1409809509086298,583.912285,0.11170154064893723
676,0.11742425709962845,584.255099,0.13405193466755536,584.255099,0.11742425709962845
677,0.12350881844758987,584.597972,0.11343180324272033,584.597972,0.12350881844758987
678,0.13494354486465454,584.940904,0.09280812360104308,584.940904,0.13494354486465454
679,0.15731601417064667,585.283893,0.08033279795472553,585.283893,0.15731601417064667
680,0.1838383972644806,585.626939,0.06955257993357689,585.626939,0.1838383972644806
681,0.24044252932071686,585.970039,0.05877066496282346,585.970039,0.24044252932071686
682,0.35599902272224426,586.313194,0.05921897351564407,586.313194,0.35599902272224426
683,0.5289034843444824,586.656401,0.0607419922548794,586.656401,0.5289034843444824
684,0.757915198802948,586.99966,0.06226524174982312,586.99966,0.757915198802948
685,0.9308671355247498,587.342969,0.06366005336472745,587.342969,0.9308671355247498
686,0.9966625571250916,587.686328,0.06505494055737385,587.686328,0.9966625571250916
687,0.997486412525177,588.029735,0.06642767068587714,588.029735,0.997486412525177
688,0.9966738820075989,588.373189,0.0675647663991656,588.373189,0.9966738820075989
689,0.9381436705589294,588.716689,0.06870201440767464,588.716689,0.9381436705589294
690,0.7730382084846497,589.060234,0.06977916090603234,589.060234,0.7730382084846497
691,0.6393235325813293,589.403822,0.07057301817305045,589.403822,0.6393235325813293
692,0.5378323793411255,589.747453,0.0713669747912173,589.747453,0.5378323793411255
693,0.45879125595092773,590.091125,0.07186808302483651,590.091125,0.45879125595092773
694,0.3910684883594513,590.434837,0.07155728233364626,590.434837,0.3910684883594513
695,0.34009110927581787,590.778589,0.071246445472559,590.778589,0.34009110927581787
696,0.2898325026035309,591.122377,0.07081247365657317,591.122377,0.2898325026035309
697,0.24226467311382294,591.466202,0.07015570772811237,591.466202,0.24226467311382294
698,0.20646126568317413,591.810063,0.06949887303335037,591.810063,0.20646126568317413
699,0.1812777817249298,592.153957,0.06872450378312471,592.153957,0.1812777817249298
700,0.16244718432426453,592.497884,0.06780512151371786,592.497884,0.16244718432426453
701,0.15000158548355103,592.841843,0.06688565370222607,592.841843,0.15000158548355103
702,0.14249618351459503,593.185832,0.06586945225695977,593.185832,0.14249618351459503
703,0.13858270645141602,593.529851,0.06477089567191024,593.529851,0.13858270645141602
704,0.13845746219158173,593.873897,0.06367225286770468,593.873897,0.13845746219158173
705,0.13889460265636444,594.21797,0.06251310339014113,594.21797,0.13889460265636444
706,0.1381281167268753,594.562068,0.061318911878587186,594.562068,0.1381281167268753
707,0.14163830876350403,594.906191,0.060124633604576073,594.906191,0.14163830876350403
708,0.14430266618728638,595.250336,0.05898966217693894,595.250336,0.14430266618728638
709,0.1446818709373474,595.594503,0.05787687242271132,595.594503,0.1446818709373474
710,0.14623473584651947,595.93869,0.05676401800279843,595.93869,0.14623473584651947
711,0.14790740609169006,596.282897,0.055690916582424206,596.282897,0.14790740609169006
712,0.1515689641237259,596.627121,0.05462639195249369,596.627121,0.1515689641237259
713,0.15600313246250153,596.971362,0.053561814749474766,596.971362,0.15600313246250153
714,0.156507208943367,597.315618,0.05259685873838102,597.315618,0.156507208943367
715,0.15418793261051178,597.659887,0.051640910093972,597.659887,0.15418793261051178
716,0.15488038957118988,598.00417,0.050686969299830575,598.00417,0.15488038957118988
717,0.15341733396053314,598.348464,0.04989993805992535,598.348464,0.15341733396053314
718,0.14692680537700653,598.692767,0.04911288624666961,598.692767,0.14692680537700653
719,0.14939211308956146,599.03708,0.048350501555173245,599.03708,0.14939211308956146
720,0.14815977215766907,599.3814,0.04779267879567809,599.3814,0.14815977215766907
721,0.14947932958602905,599.725726,0.04723484631575847,599.725726,0.14947932958602905
722,0.15785153210163116,600.070056,0.046830907012132515,600.070056,0.15785153210163116
723,0.16844092309474945,600.41439,0.04702949762776831,600.41439,0.16844092309474945
724,0.17962509393692017,600.758726,0.04722808939688078,600.758726,0.17962509393692017
725,0.1938624083995819,601.103062,0.04749644895287665,601.103062,0.1938624083995819
726,0.19319535791873932,601.447398,0.04792813886353773,601.447398,0.19319535791873932
727,0.1886909306049347,601.791732,0.04835982626682281,601.791732,0.1886909306049347
728,0.17670604586601257,602.136062,0.04886130933712265,602.136062,0.17670604586601257
729,0.1564628928899765,602.480388,0.04946962816516711,602.480388,0.1564628928899765
730,0.13477292656898499,602.824707,0.05007793462635077,602.824707,0.13477292656898499
731,0.11472228914499283,603.169019,0.05074522703420042,603.169019,0.11472228914499283
732,0.10107526183128357,603.513321,0.05147368662053682,603.513321,0.10107526183128357
733,0.09218169748783112,603.857614,0.05220212716505453,603.857614,0.09218169748783112
734,0.08562611043453217,604.201894,0.05296791481588554,604.201894,0.08562611043453217
735,0.08347996324300766,604.546162,0.05376003334819071,604.546162,0.08347996324300766
736,0.08316561579704285,604.890415,0.05455211736733184,604.890415,0.08316561579704285
737,0.0818457081913948,605.234652,0.05521037576024631,605.234652,0.0818457081913948
738,0.0794965848326683,605.578871,0.055806122190406364,605.578871,0.0794965848326683
739,0.0774318277835846,605.923072,0.056401837467620806,605.923072,0.0774318277835846
740,0.0774538591504097,606.267252,0.05699887064324435,606.267252,0.0774538591504097
741,0.07795130461454391,606.611411,0.057596257183872956,606.611411,0.07795130461454391
742,0.07766374945640564,606.955546,0.05819360206562605,606.955546,0.07766374945640564
743,0.07542116194963455,607.299657,0.05878759642989013,607.299657,0.07542116194963455
744,0.07457508891820908,607.643742,0.05938105508290658,607.643742,0.07457508891820908
745,0.07436013966798782,607.987799,0.0599744654430819,607.987799,0.07436013966798782
746,0.07642406970262527,608.331828,0.12088345498062728,608.331828,0.07642406970262527
747,0.0758553296327591,608.675825,0.1840043210219622,608.675825,0.0758553296327591
748,0.07424160838127136,609.019791,0.2594528405051768,609.019791,0.07424160838127136
749,0.07435647398233414,609.363724,0.5368938923897155,609.363724,0.07435647398233414
750,0.07453933358192444,609.707621,0.8143059040894679,609.707621,0.07453933358192444
751,0.07482448220252991,610.051482,1.0,610.051482,0.07482448220252991
752,0.07568425685167313,610.395306,0.6650063633468647,610.395306,0.07568425685167313
753,0.07525330781936646,610.739089,0.3300526736989011,610.739089,0.07525330781936646
754,0.07487286627292633,611.082832,0.07506557496615988,611.082832,0.07487286627292633
755,0.07411675900220871,611.426533,0.07184141126192728,611.426533,0.07411675900220871
756,0.07417763769626617,611.770189,0.06861766969020615,611.770189,0.07417763769626617
757,0.07518256455659866,612.1138,0.08303577144444911,612.1138,0.07518256455659866
758,0.07580201327800751,612.457364,0.1330726225205415,612.457364,0.07580201327800751
759,0.07550477981567383,612.800879,0.1831023372095205,612.800879,0.07550477981567383
760,0.07517994940280914,613.144344,0.34583204627303404,613.144344,0.07517994940280914
761,0.07627386599779129,613.487758,0.6639929847192928,613.487758,0.07627386599779129
762,0.07868323475122452,613.831118,0.9821038940733512,613.831118,0.07868323475122452
763,0.08394726365804672,614.174424,0.9595037521612038,614.174424,0.08394726365804672
764,0.08861997723579407,614.517673,0.6071249780888305,614.517673,0.08861997723579407
765,0.09370478987693787,614.860864,0.2548057467065876,614.860864,0.09370478987693787
766,0.10022670030593872,615.203996,0.10370270512383543,615.203996,0.10022670030593872
767,0.10280472040176392,615.547067,0.08980084718657824,615.547067,0.10280472040176392
768,0.09992099553346634,615.890075,0.07590154212336,615.890075,0.09992099553346634
769,0.09573360532522202,616.233018,0.07165426920556214,616.233018,0.09573360532522202
770,0.09183329343795776,616.575896,0.07195899072393057,616.575896,0.09183329343795776
771,0.08788767457008362,616.918707,0.07226365269825803,616.918707,0.08788767457008362
772,0.08547843992710114,617.261448,0.07252529096408031,617.261448,0.08547843992710114
773,0.08377447724342346,617.604118,0.07277351961919772,617.604118,0.08377447724342346
774,0.08251748979091644,617.946717,0.07302169684222448,617.946717,0.08251748979091644
775,0.08262348175048828,618.289241,0.07321876198198107,618.289241,0.08262348175048828
776,0.07973369210958481,618.631689,0.07340637979653297,618.631689,0.07973369210958481
777,0.07805325835943222,618.974061,0.07359395597278083,618.974061,0.07805325835943222
778,0.07609594613313675,619.316353,0.07372178458129437,619.316353,0.07609594613313675
779,0.07572883367538452,619.658565,0.07384468911876664,619.658565,0.07572883367538452
780,0.07736867666244507,620.000695,0.0739676615453386,620.000695,0.07736867666244507
781,0.07814604043960571,620.342741,0.07413841218859123,620.342741,0.07814604043960571
782,0.07810025662183762,620.684701,0.07430911990032196,620.684701,0.07810025662183762
783,0.07515548169612885,621.026574,0.0744718551762499,621.026574,0.07515548169612885
784,0.07522113621234894,621.368359,0.0745404955845126,621.368359,0.07522113621234894
785,0.0748695433139801,621.710052,0.07460911751648887,621.710052,0.0748695433139801
786,0.07301723212003708,622.051654,0.07465727537344322,622.051654,0.07301723212003708
787,0.07389140874147415,622.393161,0.07459068390147398,622.393161,0.07389140874147415
788,0.0761416032910347,622.734573,0.07452411095383907,622.734573,0.0761416032910347
789,0.07957878708839417,623.075887,0.07442012434683849,623.075887,0.07957878708839417
790,0.081869937479496,623.417103,0.07418527805461686,623.417103,0.081869937479496
791,0.08324891328811646,623.758217,0.07395050196520468,623.758217,0.08324891328811646
792,0.08365291357040405,624.099229,0.07365717977223324,624.099229,0.08365291357040405
793,0.08239754289388657,624.440137,0.0732211651449836,624.440137,0.08239754289388657
794,0.07902849465608597,624.780938,0.07278528736862963,624.780938,0.07902849465608597
795,0.0754084661602974,625.121632,0.07216159236473656,625.121632,0.0754084661602974
796,0.07381390780210495,625.462217,0.07119969563138474,625.462217,0.07381390780210495
797,0.0721798688173294,625.80269,0.07023811521388418,625.80269,0.0721798688173294
798,0.07130661606788635,626.14305,0.06919512417858818,626.14305,0.07130661606788635
799,0.07105153053998947,626.483296,0.06803978973652677,626.483296,0.07105153053998947
800,0.07103289663791656,626.823425,0.06688485257798857,626.823425,0.07103289663791656
801,0.07114491611719131,627.163435,0.06565603683961845,627.163435,0.07114491611719131
802,0.06976678967475891,627.503326,0.06434742436163064,627.503326,0.06976678967475891
803,0.06988250464200974,627.843095,0.06303928159517493,627.843095,0.06988250464200974
