# Mode: Color Science
# Date: 2026-03-13 13:07:15
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=145.65 Y=245.84 Z=52.00
# LAB: L*=140.56 a*=-108.05 b*=109.10
# xy: x=0.3284 y=0.5543
Pixel,Wavelength,Measured,Dark
483,508.531012,0.4446678161621094,0.0785699412226677
484,509.024988,0.453022301197052,0.07930558919906616
485,509.518958,0.4576471745967865,0.08095713704824448
486,510.012924,0.4583840072154999,0.08002481609582901
487,510.506887,0.47532862424850464,0.08054286241531372
488,511.000849,0.479875385761261,0.07825373858213425
489,511.494811,0.4763135612010956,0.08180942386388779
490,511.988774,0.4771071672439575,0.08377248048782349
491,512.48274,0.47774749994277954,0.0811799168586731
492,512.97671,0.4711061716079712,0.08194947987794876
493,513.470686,0.4743899703025818,0.0813765674829483
494,513.964668,0.4788748323917389,0.07885304093360901
495,514.458658,0.47358185052871704,0.08013983070850372
496,514.952658,0.46892428398132324,0.08113391697406769
497,515.446669,0.46610182523727417,0.07627487927675247
498,515.940693,0.45177125930786133,0.08259445428848267
499,516.434729,0.4617617130279541,0.07890962809324265
500,516.928781,0.47461462020874023,0.0787317231297493
501,517.422849,0.4758686423301697,0.08076988905668259
502,517.916935,0.4816361963748932,0.0791642963886261
503,518.41104,0.4911215901374817,0.07867972552776337
504,518.905165,0.5029929876327515,0.07847289741039276
505,519.399313,0.5075703859329224,0.08071579784154892
506,519.893483,0.5140026211738586,0.08095751702785492
507,520.387678,0.5200474262237549,0.07888378947973251
508,520.881898,0.5297624468803406,0.07767027616500854
509,521.376146,0.5286829471588135,0.08238892257213593
510,521.870423,0.5324764847755432,0.08200283348560333
511,522.364729,0.5345755815505981,0.08060228824615479
512,522.859051,0.5459358096122742,0.082224540412426
513,523.353373,0.5497373342514038,0.083774134516716
514,523.847695,0.5330759882926941,0.08208022266626358
515,524.342017,0.5271068811416626,0.08315828442573547
516,524.836339,0.5196511745452881,0.07907027751207352
517,525.330661,0.5286919474601746,0.07844988256692886
518,525.824983,0.5281156897544861,0.08110430091619492
519,526.319305,0.5127071142196655,0.0793907567858696
520,526.813627,0.5149239897727966,0.08485046774148941
521,527.307949,0.520897626876831,0.08400131016969681
522,527.802271,0.5395779609680176,0.08332933485507965
523,528.296593,0.5390952229499817,0.08138436824083328
524,528.790915,0.5448528528213501,0.0835740864276886
525,529.285237,0.5353904962539673,0.07953435927629471
526,529.779559,0.5330688953399658,0.08278927206993103
527,530.273881,0.5476870536804199,0.079485684633255
528,530.768203,0.5352600812911987,0.08303981274366379
529,531.262525,0.5170620679855347,0.0845307931303978
530,531.756847,0.5248746871948242,0.08220792561769485
531,532.251169,0.5215549468994141,0.08335676789283752
532,532.745491,0.5164365172386169,0.08069752156734467
533,533.239813,0.5297225713729858,0.08123417943716049
534,533.734135,0.5301953554153442,0.08317606151103973
535,534.228457,0.5386126041412354,0.08216783404350281
536,534.722779,0.5326179265975952,0.08282092958688736
537,535.217101,0.5345826148986816,0.08133400231599808
538,535.711423,0.5355753302574158,0.0787770077586174
539,536.205745,0.5193345546722412,0.08084212988615036
540,536.700067,0.5248663425445557,0.08389288932085037
541,537.194389,0.516070544719696,0.0842786580324173
542,537.688711,0.5085265636444092,0.0810997411608696
543,538.183033,0.5040901899337769,0.08093027025461197
544,538.677355,0.5084086060523987,0.08213694393634796
545,539.171677,0.4864981770515442,0.08325766026973724
546,539.665999,0.4888254404067993,0.07856445014476776
547,540.160321,0.4893251955509186,0.08474888652563095
548,540.654643,0.4920335114002228,0.08108846098184586
549,541.148965,0.48505353927612305,0.08392272889614105
550,541.643287,0.4934086203575134,0.08288770169019699
551,542.137609,0.4872135519981384,0.08238808810710907
552,542.631931,0.48969340324401855,0.07908795773983002
553,543.126253,0.4837685823440552,0.07950472831726074
554,543.620574,0.49020862579345703,0.0807955414056778
555,544.114896,0.48526743054389954,0.07853392511606216
556,544.609218,0.47850945591926575,0.0804114118218422
